\# boa_stats: type,map,start_q,n,boa_exp_sum,boa_gen_sum,boa_sol_sum,setup_time_sum
# bcp_stats: type,map,start_q,ord_i,zone_i,piv_i,exp_sum,gen_sum,prune_sum,time_sum,bbar1_sum,bbar2_sum,solved,timed_out,n,error_sum,error_n
boa_stats,NY,0,4,677952,958829,310,309.7750
bcp_stats,NY,5,1,3,0,2120,4175,2264,0.146000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,0,0,2465,5026,2778,0.234000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,0,1,241283,416521,462162,35.671000,1.52982460,3.63372210,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,0,2,1238379,1819017,2855828,232.897000,2.34502897,2.43279462,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,0,3,18134,31415,28073,1.684000,3.65042464,1.58882753,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,0,4,2120,4160,2279,0.093000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,1,0,2465,5098,2706,0.194000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,1,1,57955,107200,92012,6.384000,2.68654974,4.08914807,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,1,2,266760,448724,546443,40.870000,3.23001931,3.28852975,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,1,3,18022,32295,26827,1.684000,4.10028309,2.72588502,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,1,4,2120,4171,2268,0.092000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,2,0,2465,5104,2700,0.179000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,2,1,34098,65482,48799,3.403000,3.84327487,4.54457403,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,2,2,42882,78122,70949,5.251000,4.11500966,4.14426487,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,2,3,9904,18705,12840,0.711000,4.55014155,3.86294251,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,2,4,2120,4173,2266,0.085000,5.00000000,3.75000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,2,3,0,2465,5107,2697,0.109000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,0,0,2978,8667,708,0.740000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,0,1,291570,962419,386331,100.360000,1.52982460,3.63372210,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,0,2,169128,511715,251203,44.055000,2.34502897,2.43279462,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,0,3,25156,74010,32311,4.732000,3.65042464,1.58882753,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,0,4,2793,8125,420,0.299000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,1,0,3595,10457,714,0.348000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,1,1,64632,202466,67068,13.928000,2.68654974,4.08914807,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,1,2,45978,142978,41619,8.614000,3.23001931,3.28852975,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,1,3,30041,91250,28738,5.717000,4.10028309,2.72588502,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,1,4,3105,9053,457,0.334000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,2,0,4082,12142,605,0.433000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,2,1,20528,63698,13629,3.472000,3.84327487,4.54457403,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,2,2,25815,79756,21629,5.017000,4.11500966,4.14426487,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,2,3,13939,43316,7370,2.126000,4.55014155,3.86294251,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,2,4,3800,11354,376,0.359000,5.00000000,3.75000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,3,3,0,4440,13150,657,0.509000,5.00000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,0,0,24596616,37432497,66555609,11880.105000,1.25000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,0,1,13068136,25507290,32687484,10303.360000,1.52982460,3.63372210,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,0,2,24411522,44434706,61977956,19053.227000,2.34502897,2.43279462,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,0,3,38456347,51282777,102489383,13293.847000,3.65042464,1.58882753,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,0,4,48003243,62384163,128106016,16060.675000,5.00000000,1.25000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,1,0,13158077,25734415,32707423,10373.290000,2.50000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,1,1,13158077,25734733,32707105,9779.993000,2.68654974,4.08914807,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,1,2,13158075,25734946,32706884,9797.649000,3.23001931,3.28852975,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,1,3,13158075,25735050,32706780,9798.381000,4.10028309,2.72588502,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,1,4,13158075,25734930,32706900,9735.924000,5.00000000,2.50000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,2,0,13158075,25735074,32706756,9728.602000,3.75000000,5.00000000,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,2,1,13158075,25735095,32706735,9741.566000,3.84327487,4.54457403,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,2,2,13158075,25735116,32706714,9887.601000,4.11500966,4.14426487,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,2,3,13158075,25735143,32706687,10319.178000,4.55014155,3.86294251,5,0,5,0.0000000000,0
bcp_stats,NY,5,4,2,4,13158075,25735148,32706682,9758.725000,5.00000000,3.75000000,5,0,5,0.0000000000,0
